conference,team
Atlantic 10,Saint Joseph’s
Atlantic 10,VCU
Atlantic 10,Richmond
Atlantic 10,George Mason
Atlantic 10,Davidson
Atlantic 10,Rhode Island
Atlantic 10,Dayton
Atlantic 10,Fordham
Atlantic 10,Saint Louis
Atlantic 10,George Washington
Atlantic 10,La Salle
Atlantic 10,St. Bonaventure
ACC,Georgia Tech
ACC,North Carolina
ACC,Florida State
ACC,Boston College
ACC,Miami
ACC,Wake Forest
ACC,Virginia Tech
ACC,Virginia
ACC,NC State
ACC,Notre Dame
ACC,Louisville
ACC,Stanford
ACC,California
ACC,Pittsburgh
ACC,Clemson
ACC,Duke
America East,Binghamton
America East,UMBC
America East,Maine
America East,Bryant
America East,UMass Lowell
America East,Albany
America East,New Jersey Tech
American,UTSA
American,East Carolina
American,Rice
American,UAB
American,Memphis
American,Wichita State
American,Charlotte
American,Florida Atlantic
American,South Florida
American,Tulane
Atlantic Sun,North Florida
Atlantic Sun,Lipscomb
Atlantic Sun,North Alabama
Atlantic Sun,Florida Gulf Coast
Atlantic Sun,Central Arkansas
Atlantic Sun,Jacksonville
Atlantic Sun,Austin Peay
Atlantic Sun,Stetson
Atlantic Sun,Bellarmine
Atlantic Sun,Queens (NC)
Atlantic Sun,Eastern Kentucky
Atlantic Sun,West Georgia
Big 12,Kansas
Big 12,West Virginia
Big 12,Arizona State
Big 12,UCF
Big 12,Oklahoma State
Big 12,Cincinnati
Big 12,TCU
Big 12,Baylor
Big 12,BYU
Big 12,Utah
Big 12,Kansas State
Big 12,Texas Tech
Big 12,Arizona
Big 12,Houston
Big East,St. John’s
Big East,Connecticut
Big East,Xavier
Big East,Creighton
Big East,Georgetown
Big East,Butler
Big East,Villanova
Big East,Seton Hall
Big South,High Point
Big South,Winthrop
Big South,Charleston Southern
Big South,USC Upstate
Big South,Radford
Big South,Longwood
Big South,Gardner-Webb
Big South,UNC Asheville
Big South,Presbyterian
Big Ten,UCLA
Big Ten,Nebraska
Big Ten,Southern California
Big Ten,Oregon
Big Ten,Purdue
Big Ten,Ohio State
Big Ten,Michigan
Big Ten,Iowa
Big Ten,Illinois
Big Ten,Rutgers
Big Ten,Washington
Big Ten,Minnesota
Big Ten,Michigan State
Big Ten,Maryland
Big Ten,Indiana
Big Ten,Penn State
Big Ten,Northwestern
Big West,UC Santa Barbara
Big West,Cal Poly
Big West,UC San Diego
Big West,Hawaii
Big West,Cal State Fullerton
Big West,UC Davis
Big West,UC Irvine
Big West,Cal State Northridge
Big West,CSU Bakersfield
Big West,Long Beach State
Big West,UC Riverside
Conference USA,Jacksonville State
Conference USA,Liberty
Conference USA,Missouri State
Conference USA,Louisiana Tech
Conference USA,Dallas Baptist
Conference USA,Western Kentucky
Conference USA,Kennesaw State
Conference USA,Sam Houston
Conference USA,Middle Tennessee
Conference USA,Florida International
Conference USA,New Mexico State
Conference USA,Delaware
Coastal,Campbell
Coastal,Northeastern
Coastal,Monmouth
Coastal,College of Charleston
Coastal,UNC Wilmington
Coastal,Hofstra
Coastal,Stony Brook
Coastal,William & Mary
Coastal,Elon
Coastal,Towson
Coastal,North Carolina A&T
DI Independent,Oregon State
Horizon,Wright State
Horizon,Milwaukee
Horizon,Northern Kentucky
Horizon,Youngstown State
Horizon,Oakland
Ivy League,Yale
Ivy League,Pennsylvania
Ivy League,Brown
Ivy League,Columbia
Ivy League,Harvard
Ivy League,Princeton
Ivy League,Cornell
Ivy League,Dartmouth
Metro Atlantic,Rider
Metro Atlantic,Fairfield
Metro Atlantic,Niagara
Metro Atlantic,Merrimack
Metro Atlantic,Marist
Metro Atlantic,Canisius
Metro Atlantic,Iona
Metro Atlantic,Quinnipiac
Metro Atlantic,Sacred Heart
Metro Atlantic,Mount St. Mary’s
Metro Atlantic,Siena
Metro Atlantic,Manhattan
Metro Atlantic,Saint Peter’s
Mid-American,Miami (OH)
Mid-American,Kent State
Mid-American,Toledo
Mid-American,Northern Illinois
Mid-American,Western Michigan
Mid-American,Ball State
Mid-American,Central Michigan
Mid-American,Massachusetts
Mid-American,Eastern Michigan
Mid-American,Bowling Green
Mid-American,Akron
Mid-American,Ohio
Missouri Valley,Illinois-Chicago
